id,city,x,y,z
487,Qyvmi,11.788,48.988,659.795
488,Vcldj,9.987,47.781,260.070
489,Daegt,7.584,47.794,129.075
490,Rrzoh,9.166,48.194,808.410
491,Qhzys,12.380,52.246,861.460
492,Oxlxt,7.036,53.547,64.701
493,Psrza,12.186,48.807,841.059
494,Ctmdt,9.424,50.949,816.430
495,Wpeur,6.663,51.578,382.909
496,Iaohb,8.030,50.529,490.666
497,Cecnz,8.012,49.928,536.895
498,Ofqyp,10.919,48.162,54.871
499,Mgfqf,9.469,51.417,833.602
500,Xirmq,8.614,53.274,737.656
501,Niyco,9.647,50.126,561.223
502,Fatyk,7.618,52.552,236.148
503,Zxjxa,9.037,48.126,940.081
504,Kksmu,6.549,51.207,284.357
505,Jwzgw,9.589,53.616,689.439
506,Gocpp,8.753,48.887,884.577
507,Cyiqf,10.402,51.975,587.714
508,Kykjd,12.514,52.853,323.888
509,Nqagm,8.394,50.373,175.746
510,Wetjj,12.003,53.365,378.916
511,Cwgqz,13.821,52.124,650.182
512,Qefvj,9.398,49.411,507.512
513,Vahej,6.401,49.560,874.066
514,Jjcpg,8.339,54.706,940.382
515,Lrrai,11.310,53.299,447.977
516,Kwtxb,7.188,51.080,42.337
517,Pkxfn,9.391,52.783,714.082
518,Taipu,12.208,54.418,318.171
519,Bdhch,12.460,54.402,905.110
520,Rpkdn,7.585,47.684,83.752
521,Fmijb,8.997,53.634,743.883
522,Ybmyy,9.737,53.144,870.243
523,Jsydi,8.192,54.657,172.153
524,Mnutz,9.642,50.390,482.894
525,Nuike,7.393,50.282,504.032
526,Mbosl,10.930,47.775,290.261
527,Koble,12.089,47.740,844.691
528,Wliag,14.193,52.266,891.085
529,Fxows,10.225,50.933,481.004
530,Cjvah,11.735,51.327,149.035
531,Ajwre,7.809,50.443,408.570
532,Vxmya,12.259,49.391,202.563
533,Ogteb,8.109,52.021,625.480
534,Vluez,7.261,50.882,950.306
535,Cepfl,10.798,54.123,67.594
536,Yvlnl,11.182,48.229,22.521
537,Rtegp,11.124,51.685,947.463
538,Hrsby,8.301,54.406,5.157
539,Jzqyr,11.217,51.558,807.992
540,Ifykd,10.699,52.022,829.961
541,Vlwvq,9.246,47.642,190.548
542,Faxhq,8.499,52.280,919.654
543,Edkag,10.952,50.807,158.316
544,Lwvjm,8.854,52.934,389.597
545,Rxhlq,9.993,53.119,397.028
546,Oucmv,11.659,47.784,617.247
547,Dgudp,12.738,54.239,729.444
548,Dbqfr,9.903,50.370,91.469
549,Hwxxs,10.398,51.299,584.977
550,Btncs,9.687,53.394,648.004
551,Exbcw,9.840,49.962,489.315
552,Shjjy,11.758,48.921,933.976
553,Qlemh,11.427,54.016,778.043
554,Jcrop,13.730,48.805,281.903
555,Oshoi,12.962,53.712,538.392
556,Ddplr,9.043,53.870,29.480
557,Xvhye,12.257,47.822,549.123
558,Qwpnr,10.187,51.043,890.145
559,Tapmc,11.332,49.807,245.066
560,Cavkt,10.877,53.307,650.569
561,Gbzbg,6.926,53.601,76.845
562,Uybiq,7.036,51.544,469.576
563,Jhbiy,10.016,49.289,643.358
564,Dzubj,11.016,50.575,143.760
565,Bfbuq,10.256,49.411,562.198
566,Jgqux,6.709,49.823,508.498
567,Ajxgk,13.665,53.399,661.050
568,Xirdc,12.418,51.352,481.738
569,Jcngu,10.383,53.245,779.488
570,Szhdn,9.499,49.324,139.943
571,Iaguf,6.990,49.535,489.083
572,Rsbuh,12.109,51.160,523.549
573,Cpimn,11.553,51.917,461.446
574,Vjzwu,8.553,51.995,643.306
575,Psdht,9.807,51.063,814.410
576,Amnhw,9.652,51.787,642.086
577,Ztdyn,7.625,47.674,700.928
578,Yoptm,12.467,52.978,252.526
579,Weijc,10.912,50.937,128.638
580,Aioif,13.704,51.830,499.465
581,Ugcrs,13.790,53.013,309.591
582,Spbij,8.755,49.528,730.359
583,Vbamw,8.516,50.174,819.189
584,Srtud,8.102,53.217,953.721
585,Omjoe,9.602,52.404,673.041
586,Zwpym,11.795,52.985,708.179
587,Ucawb,8.609,52.233,458.639
588,Lemrt,11.066,49.785,581.339
589,Izdvu,9.777,49.895,840.730
590,Ucjqt,8.251,50.777,406.090
591,Giuum,7.059,50.495,346.249
592,Lstti,12.162,52.336,431.755
593,Vtfbn,10.446,48.293,200.862
594,Ejxhl,9.034,48.196,149.459
595,Gdihw,9.378,54.455,426.845
596,Hzuwl,7.122,50.606,126.068
597,Uvhni,10.032,49.153,344.079
598,Vkygc,11.784,53.691,769.378
599,Wsrff,9.045,51.484,746.471
600,Qvwlt,13.602,52.927,776.575
601,Rwhoy,9.953,52.032,131.973
602,Jrlhh,8.595,49.117,950.282
603,Quoiu,12.430,47.908,896.701
604,Xbsil,9.140,50.027,558.463
605,Rmxvm,11.096,47.626,538.370
606,Jmqyn,6.910,50.214,298.127
607,Txmgy,13.918,51.750,547.378
608,Nrvow,9.484,48.536,183.749
609,Vdyaf,11.463,52.588,751.223
610,Rcuug,10.281,50.153,913.404
611,Oqwyq,13.434,52.236,167.644
612,Icpmm,12.339,50.754,187.840
613,Lcepf,8.059,48.605,916.162
614,Ihwcb,6.180,51.679,468.332
615,Hpvrx,12.037,52.968,693.765
616,Vcgch,12.266,52.663,159.781
617,Ybdpb,10.896,52.809,715.420
618,Fyvuo,12.650,53.487,514.576
619,Grrrf,7.171,53.706,711.641
